word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
abandon,She abandoned her plan halfway.,ə-ˈban-dən,aban-don,"타동사. 목적어(계획, 습관 등)가 꼭 필요함.",abandon'은 어떤 계획이나 행동을 중단하거나 포기한다는 의미의 동사입니다.\r\n The company had to abandon the project due to a lack of funding.,He decided to ____ the old plan.
abide,We must abide by the rules.,ə-ˈbīd,abide,자동사 + 전치사 by. ‘규칙을 따르다’ 형태 고정.,"abide'는 (특히 'abide by'의 형태로) 규칙, 법률, 결정 등을 받아들이고 따른다는 의미의 동사입니다.\r\n All employees must abide by the company's code of conduct.",You must ____ by the company rules.
accept,He accepted the invitation.,ik-ˈsept,ac-cept,타동사. ‘제안·사실·초대’ 등 목적어 필수.,"accept'는 (제안, 초대, 사과 등을) 기꺼이 받아들인다는 의미의 동사입니다.\r\n We are pleased to accept your job offer.",I can’t ____ this offer right now.
access,Only managers can access the file.,ˈak-ˌses,ac-cess,타동사. 전치사 없이 목적어 바로 사용(⚠ to 안 씀).,access'는 장소에 들어가거나 정보/시스템을 사용할 수 있는 '허가'나 '권리'를 의미하는 명사입니다.\r\n You need a key card to access the restricted area.,Please use your ID to ____ the system.
accommodate,The hotel can accommodate 200 guests.,ə-ˈkä-mə-ˌdāt,ac-com-mo-date,타동사. ‘사람·요구’가 목적어.,accommodate'는 누군가의 필요나 욕구를 충족시키거나 편의를 제공한다는 의미의 동사입니다.\r\n The hotel can accommodate requests for non-smoking rooms.,The hotel can ____ up to 200 guests.
accomplish,She accomplished her goal.,ə-ˈkäm-plish,ac-com-plish,타동사. 구체적인 ‘결과’ 목적어를 취함.,accomplish'는 노력을 통해 (어떤 과업이나 목표)를 성공적으로 완료한다는 의미의 동사입니다.\r\n The sales team worked hard to accomplish their quarterly targets.,She finally ____ her goal last year.
account,This explains how we account for the results.,ə-ˈkau̇nt,ac-count,자동사 + 전치사 for. ‘이유를 설명하다’ 고정 구문.,"account'는 은행 거래 기록(계좌)이나, 비용 처리를 위한 회사 장부(계정) 등을 의미하는 명사입니다.\r\n Please charge the expenses to the company account.",He gave a clear ____ of what happened.
accumulate,He accumulated a lot of experience.,ə-ˈkyü-m(y)ə-ˌlāt,ac-cu-mu-late,"타동사. ‘경험, 자산’ 목적어 가능.",accumulate'는 (특히 시간을 두고) 조금씩 모으거나 쌓아 올린다는 의미의 동사입니다.\r\n Employees can accumulate vacation days over time.,Dust will ____ if you don’t clean often.
acknowledge,They acknowledged their mistake. / He acknowledged that it was true.,ik-ˈnä-lij,ac-knowl-edge,목적어 또는 명사절을 목적어로 가짐.,acknowledge'는 편지나 이메일 등을 '받았음을 알리다' 혹은 (사실이나 중요성을) '인정하다'는 의미의 동사입니다.\r\n Please acknowledge receipt of this email by end of day.,We should ____ his great effort.
act,She acts as a leader.,ˈakt,act,자동사. ‘as + 역할’ 형태 자주 등장.,act'는 어떤 목적을 가진 구체적인 '행동'이나 '조치'를 의미하는 명사입니다.\r\n Taking swift act in an emergency is crucial.,Let’s ____ quickly before it’s too late.
adapt,You must adapt to change. / He adapted the book for TV.,ə-ˈdapt,adapt,자동사(to적응) & 타동사(변형) 두 용법 모두 존재.,adapt'는 (새로운 상황이나 용도에) 맞도록 변경하거나 조정한다는 의미의 동사입니다.\r\n We must adapt our marketing strategy to meet changing customer demands.,You must ____ to a new environment.
address,He addressed the audience.,ə-ˈdres,ad-dress,타동사. 목적어는 ‘사람’ 또는 ‘문제’.,"address'는 (문제나 사안을) 공식적으로 다루거나 해결하려 한다는 의미, 혹은 청중에게 '연설하다'는 의미의 동사입니다.\r\n The manager will address the team's concerns in the meeting.",We need to ____ this issue in the report.
adhere,The paint adheres to the wall.,ad-ˈhir,ad-here,자동사 + 전치사 to. 물리적·추상적 결속 모두 가능.,"adhere'는 (규칙, 정책, 신념 등을) 굳게 지키고 따른다는 의미의 동사입니다.\r\n All staff must adhere to the new safety regulations.",All staff must ____ to safety rules.
adjust,He adjusted to the new environment. / She adjusted the mirror.,ə-ˈjəst,ad-just,자동사(적응) / 타동사(조정) 구분 주의.,"adjust'는 더 나은 상태나 결과물을 위해 (계획, 일정, 기계 등을) 약간 변경하거나 맞춘다는 의미의 동사입니다.\r\n We may need to adjust the project timeline.",You can ____ the seat if it feels too low.
admire,I admire your courage.,əd-ˈmī(-ə)r,ad-mire,타동사. 사람이나 성품을 목적어로 취함.,admire'는 (누군가의 자질이나 성과에 대해) 존경심을 갖고 훌륭하다고 생각한다는 의미의 동사입니다.\r\n We admire your dedication to customer satisfaction.,I really ____ her for her hard work.
admit,He admitted his mistake. / She admitted making a mistake.,əd-ˈmit,ad-mit,목적어 또는 동명사/명사절 모두 가능.,admit'는 (주로 좋지 않은 사실이나 실수를) 마지못해 사실이라고 받아들이거나 시인한다는 의미의 동사입니다.\r\n The company admitted that the product had a minor defect.,He refused to ____ his mistake.
advise,He advised me to stay calm.,əd-ˈvīz,ad-vise,목적어 뒤에 to부정사 목적보어가 자주 옴.,advise'는 (전문적인 지식을 바탕으로) 어떻게 해야 할지에 대해 공식적인 '조언'이나 '권고'를 한다는 의미의 동사입니다.\r\n We advise clients to review their contracts carefully.,She will ____ you on how to solve it.
affect,The weather affects our mood.,ə-ˈfekt,af-fect,타동사. 감정·상황·결과 등에 영향. ‘on’ 쓰지 않음.,"affect'는 (어떤 사람, 사물, 상황에) 변화를 가져오거나 '영향'을 준다는 의미의 동사입니다.\r\n The new policy will affect all employees in the marketing department.",The new rule will ____ all employees.
afford,We can’t afford to lose time.,ə-ˈfȯrd,af-ford,조동사형처럼 ‘to부정사’와 함께 쓰임.,"afford'는 (주로 'can/cannot'과 함께 쓰여) 시간적, 금전적으로 (어떤 것을 하거나 가질) '여유'가 된다는 의미의 동사입니다.\r\n We cannot afford to miss this deadline.",We can’t ____ a new car this month.
aim,This policy aims to reduce costs. / He aimed at the target.,ˈām,aim,자동사(at + 목표) / 타동사(to + 목적) 둘 다 가능.,aim'은 (어떤 결과나 성과를) 달성하는 것을 '목표로 한다'는 의미의 동사입니다.\r\n This training program aims to improve leadership skills.,We ____ to finish the project by Friday.
alert,The manager alerted staff to the problem.,ə-ˈlərt,alert,목적어(사람) + 전치사 to + 내용 구조 가능.,"alert'는 (형용사) 위험을 인지하고 대비하는 상태, (동사) 위험이나 문제를 누군가에게 알린다는 의미입니다. (제공된 목록에는 adjective로 되어있으나, 토익에서는 동사로도 자주 쓰입니다.)\r\n The system will alert the user if an error occurs.",Please ____ me if you see any danger.
alleviate,The medicine alleviated the pain.,ə-ˈlē-vē-ˌāt,al-le-vi-ate,"타동사. 목적어는 ‘고통, 문제’.",alleviate'는 (문제나 고통의 정도를) 덜어주거나 가볍게 한다는 의미의 동사입니다.\r\n The new measures are intended to alleviate traffic congestion downtown.,This medicine can ____ your pain.
allocate,The company allocated funds to the project.,ˈa-lə-ˌkāt,al-lo-cate,목적어 + to + 대상. 수동형 자주 쓰임.,"allocate'는 (자원, 자금, 업무 등을) 특정 목적이나 사람에게 나누어 배정한다는 의미의 동사입니다.\r\n The manager will allocate the budget for the new project.",Funds were ____ to each department.
allow,The law allows citizens to vote.,ə-ˈlau̇,al-low,목적어 + to부정사 목적보어 자주 등장.,allow'는 어떤 일이 일어나도록 '허용'하거나 가능하게 한다는 의미의 동사입니다.\r\n The company does not allow smoking in the office.,The manager didn’t ____ him to enter.
announce,They announced that a new product would launch.,ə-ˈnau̇n(t)s,an-nounce,‘to’ 없이 목적어 바로. ‘사람’이 목적어일 수 없음.,announce'는 (중요한 정보를) 대중에게 공식적으로 알린다는 의미의 동사입니다.\r\n The CEO will announce the quarterly earnings next week.,They will ____ the winner tomorrow.
