word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
inaugurate,The mayor inaugurated the new park.,i-ˈnȯ-gyə-ˌrāt,in-au-gu-rate,타동사. 공식 행사 문맥.,"inaugurate'는 (공식적인 행사와 함께) (새로운 서비스, 건물, 정책 등을) '시작'하거나, (지도자를) '취임시킨다'는 의미의 동사입니다.\r\n The CEO will inaugurate the company's new headquarters tomorrow.",The city will ____ a new public library this weekend.
incorporate,The design incorporates new ideas into the product.,in-ˈkȯr-pə-ˌrāt,in-cor-po-rate,into + 포함 대상. 수동형 자주.,incorporate'는 (어떤 요소를) (기존의 것에) '일부로' '포함'하거나 '통합시킨다'는 의미의 동사입니다.\r\n We plan to incorporate customer feedback into the next product update.,We plan to ____ your ideas into the final report.
incur,He incurred heavy losses.,in-ˈkər,in-cur,타동사. 주로 부정적 결과 목적어.,"incur'는 (주로 좋지 않은 결과, 즉 비용, 손실, 벌금 등을) '자신이' '겪게' 되거나 '초래한다'는 의미의 동사입니다.\r\n You may incur additional fees for late payments.",His mistake may ____ extra costs for the team.
indicate,The data indicate that sales increased.,ˈin-də-ˌkāt,in-di-cate,타동사. 연구·통계 문맥 자주.,indicate'는 (데이터나 사실이) (특정 상황을) '보여주거나' '나타낸다'는 의미의 동사입니다.\r\n The survey results indicate a high level of customer loyalty.,The results clearly ____ a rise in customer interest.
inform,Please inform us of any changes.,in-ˈfȯrm,in-form,사람+of/about+내용.,inform'은 (필요한 정보나 사실을) (누군가에게) '공식적으로' '알린다'는 의미의 동사입니다.\r\n We will inform all applicants of our decision by email.,Please ____ the staff of any schedule changes.
initiate,The team initiated the project last year.,i-ˈni-shē-ˌāt,ini-ti-ate,타동사. 수동형 가능.,initiate'는 (어떤 일이나 과정을) '공식적으로' '처음 시작'하거나 '착수한다'는 의미의 동사입니다. (start/begin보다 격식 있음)\r\n The company has decided to initiate a new wellness program for employees.,The company will ____ a new training program.
inquire,He inquired about the schedule.,in-ˈkwī(-ə)r,in-quire,자동사 + about/into.,inquire'는 (정보를 얻기 위해) '공식적으로' '질문'하거나 '문의한다'는 의미의 동사입니다. (ask보다 격식 있음)\r\n I am writing to inquire about the status of my recent order.,May I ____ about the shipping time?
insert,Please insert your card into the slot.,in-ˈsərt,in-sert,타동사. into 구조 고정.,insert'는 (어떤 것을) (다른 것의 안이나 틈새로) '끼워 넣는다'는 의미의 동사입니다.\r\n Please insert your credit card into the machine.,Please ____ your card into the slot.
inspect,The engineer inspected the machine.,in-ˈspekt,in-spect,타동사. 수동형 자주.,"inspect'는 (안전, 품질, 규정 준수 여부 등을) '자세히' '검사'하거나 '점검한다'는 의미의 동사입니다.\r\n An auditor will arrive next week to inspect our financial records.",Engineers must ____ the machine before use.
inspire,The story inspired me.,in-ˈspī(-ə)r,in-spire,타동사. 감정 목적어 자주.,inspire'는 (누군가에게) (어떤 일을 하도록) '열의'나 '영감'을 불어넣는다는 의미의 동사입니다.\r\n The manager's speech inspired the team to achieve their goals.,Her story will ____ others to follow their dreams.
institute,The company instituted new policies.,ˈin(t)-stə-ˌtüt,in-sti-tute,타동사. 법·정책 문맥.,institute'는 (명사) '연구'나 '교육' 등을 위한 '전문 기관'이나 '협회'를 의미합니다. (동사로 '제도를 도입하다'는 뜻도 있음)\r\n The research institute will publish its findings next month.,The school will ____ new safety rules this semester.
instruct,The teacher instructed students to follow the rules.,in-ˈstrəkt,in-struct,사람+to부정사 / in+과목.,"instruct'는 (지식이나 기술을) '가르치다'는 의미도 있지만, (누군가에게) (무엇을 하라고) '공식적으로' '지시한다'는 의미로도 자주 쓰입니다.\r\n The manager instructed the staff to complete the report by Friday.",He will ____ you to follow the proper steps.
intend,We intend to expand abroad.,in-ˈtend,in-tend,타/자동 모두 가능. that절 X.,"intend'는 (~할) '목적'이나 '계획'을 갖는다는 의미의 동사이며, (주로 'be intended for' 형태로) '특정 대상을 위해' 만들어졌음을 나타냅니다.\r\n The seminar is intended for employees in management positions.",We ____ to finish this project by Friday.
interpret,He interpreted the data correctly.,in-ˈtər-prət,in-ter-pret,타동사. ‘통역하다’ 의미도 있음.,"interpret'는 (데이터나 정보의) '의미를' '설명'하거나 '해석하다', 혹은 (외국어를) '통역한다'는 의미의 동사입니다.\r\n We need someone who can interpret the results of the data analysis.",Can you ____ what the data means?
interrupt,Please don’t interrupt the speaker.,ˌin-tə-ˈrəpt,in-ter-rupt,타동사. 감정 목적어와 자주.,"interrupt'는 (진행 중인 말이나 행동, 서비스 등을) '중간에' '가로막거나' '방해하여' '중단시킨다'는 의미의 동사입니다.\r\n We apologize for the service interruption due to the storm.","Sorry to ____ your meeting, but it’s urgent."
introduce,Let me introduce my friend to you.,ˌin-trə-ˈdüs,in-tro-duce,사람+to+사람 구조.,"introduce'는 (사람을) '소개하다'는 의미 외에, (신제품이나 새로운 시스템을) '시장에' '내놓거나(출시하다)' '도입한다'는 의미로 쓰입니다.\r\n Next quarter. we plan to introduce a new software update.",Let me ____ you to our new manager.
invent,Edison invented the light bulb.,in-ˈvent,in-vent,타동사. 수동형 자주.,invent'는 (상상력과 실험을 통해) (유용한 장치나 과정 등을) '처음으로' '만들어내거나' '발명한다'는 의미의 동사입니다.\r\n Our research department invented a new. more efficient manufacturing process.,Edison helped ____ the electric light bulb.
invest,He invested in real estate.,in-ˈvest,in-vest,자동사 + in. 수동 불가.,invest'는 (미래의 수익을 기대하고) (돈이나 시간을) '특정 사업이나 자산에' '투입'하거나 '투자한다'는 의미의 동사입니다.\r\n The firm decided to invest heavily in new technology.,They decided to ____ more money in research.
investigate,The police investigated the case.,in-ˈve-stə-ˌgāt,in-ves-ti-gate,타동사. 수동형 빈출.,"investigate'는 (문제, 불만, 사고 등의) '원인이나' '사실을' '밝히기' '위해' '면밀히' '조사한다'는 의미의 동사입니다.\r\n The committee was formed to investigate the cause of the accident.",The police will ____ the cause of the fire.
involve,The job involves working overtime.,in-ˈvälv,in-volve,타동사. in + 활동 구조.,involve'는 (어떤 일이나 활동의) '필수적인' '부분'으로 '포함'하거나 '수반한다'는 의미의 동사입니다.\r\n The position involves managing a team of ten employees.,This role will ____ working closely with clients.
issue,The government issued new guidelines.,ˈi-(ˌ)shü,is-sue,타동사. 수동형 가능.,"issue'는 (명사) '논의되거나' '해결해야' '할' '중요한' '문제'나 '사안'을 의미합니다. (동사로 '발급하다', 명사로 '잡지의 호'라는 뜻도 있음)\r\n We need to address the issue of low employee morale.",We will ____ a new ID card for each employee.
jeopardize,His mistake jeopardized the project.,ˈje-pər-ˌdīz,jeop-ar-dize,타동사. 수동형 자주.,jeopardize'는 (중요한 일이나 계획을) '위험'에 빠뜨리거나 '위태롭게' 만든다는 의미의 동사입니다.\r\n Any delay now could jeopardize the success of the entire project.,Late payments could ____ your credit score.
join,She joined the company. / He joined in the discussion.,ˈjȯin,join,자동/타동 모두 가능.,"join'은 (회사, 팀, 조직 등에) '일원으로' '합류'하거나 '가입한다'는 의미의 동사입니다.\r\n Ms. Hanson will join our team as the new head of marketing.",Would you like to ____ our sports club?
justify,Nothing justifies cheating.,ˈjə-stə-ˌfī,jus-ti-fy,타동사. -ing 목적어 가능.,"justify'는 (어떤 행동, 결정, 비용 등이) '정당'하거나 '이유가' '있음'을 '보여준다'는 의미의 동사입니다.\r\n You must provide receipts to justify all your travel expenses.",He tried to ____ his decision with strong reasons.
launch,The company launched a new product.,ˈlȯnch,launch,타동사. 수동형 빈출.,"launch'는 (새로운 제품이나 서비스, 캠페인 등을) '시장에' '내놓거나' '시작한다'는 의미의 동사입니다.\r\n The company is preparing to launch a new line of products next month.",They plan to ____ a new product next month.
lead,Hard work leads to success.,ˈlēd,lead,타/자동 모두 가능. to구조 중요.,"lead'는 (팀, 프로젝트, 회의 등을) '앞장서서' '이끈다'는 의미의 동사입니다.\r\n Mr. Chen will lead the new software development project.",Good leaders always ____ by example.
learn,We learned English. / I learned to swim.,ˈlərn,learn,타동사. 수동 가능.,"learn'은 (공부나 경험을 통해) (지식, 기술, 정보 등을) '습득'하거나 '알게 된다'는 의미의 동사입니다.\r\n All employees are required to learn how to use the new software.",We can ____ a lot from past mistakes.
leave,He left the office for lunch.,ˈlēv,leave,자동/타동 모두 가능.,"leave'는 (어떤 장소를) '떠나다'는 의미, 혹은 (어떤 장소에) (물건이나 메시지를) '두고' '가거나' '남긴다'는 의미의 동사입니다.\r\n Please leave the package at the reception desk.",She decided to ____ the company after ten years.
lessen,The new policy lessened the burden. / The pain lessened over time.,ˈle-sᵊn,less-en,타/자동 모두 가능.,"lessen'은 (양, 정도, 중요성 등을) '줄이거나' '줄어들게' 만든다는 의미의 동사입니다.\r\n The new procedures should help lessen the workload for the team.",Exercise can ____ your stress levels.
lie,He lay on the sofa.,ˈlī,lie,자동사. ‘lay(눕히다)’와 혼동 주의.,"lie'는 (눕다, 거짓말하다) 외에, (어떤 장소에) '특정하게' '위치해' '있다'는 의미로도 쓰이는 동사입니다.\r\n (The factory lies just outside the city limits.)",The main problem may ____ in poor planning.
list,The brochure lists all prices.,ˈlist,list,타동사. 자동사 아님.,list'는 (특정 순서로 나열된) '항목'들의 '목록'이나 '명단'을 의미하는 명사입니다.\r\n Please refer to the list of approved vendors.,Please ____ your name on the attendance sheet.
load,They loaded the boxes onto the truck.,ˈlōd,load,타동사. into/onto 구조.,load'는 (명사) '한' '번에' '운반'할 '수' '있는' '짐'이나 '화물'의 '양'을 '의미'합니다.\r\n The truck is carrying a full load of building materials.,Let’s ____ the boxes into the truck.
local,(형용사/명사) Local residents attended the event.,ˈlō-kəl,lo-cal,동사가 아닌 형용사/명사.,local'은 '특정' '지역'이나 '현지'에 '관련'되거나 '특징'을 '가진' '것'을 '의미'하는 '형용사'입니다.\r\n We always try to purchase supplies from local businesses.,We prefer to hire ____ workers for local projects.
look,She looked at him. / He looked for his key.,ˈlu̇k,look,자동사. 전치사 따라 의미 변화.,"look'는 (시각적으로) '보다'는 의미 외에, (주로 'look for' 형태로) (필요한 것이나 사람을) '찾는다'는 의미로 자주 쓰입니다.\r\n We are looking for a candidate with strong communication skills.",Please ____ into this matter carefully.
lower,Please lower your voice.,ˈlau̇(-ə)r,low-er,타동사. 반의어: raise.,"lower'는 (가격, 수준, 양 등을) '더' '적거나' '낮은' '상태'로 '만들다'는 '의미'의 '동사'입니다. (제공된 '얼굴을 찡그리다'는 뜻은 토익에서 거의 쓰이지 않습니다.)\r\n The company decided to lower the price of its older models.",We must ____ costs without reducing quality.
